1,3008,112
2,2644,EH9_1LT
3,8090,5268
4,1204,EH9_1LT
5,5494,9772
6,2290,EH9_1LT
7,5303,1884
8,1118,EH9_1LT
9,8994,5674
10,6080,EH9_1LT
11,9629,4816
12,3643,EH9_1LT
13,979,4268
14,8635,EH9_1LT
15,2469,2202
16,232,EH9_1LT
17,6049,7238
18,1600,EH9_1LT
19,852,4474
20,2293,EH9_1LT
21,1998,2085
22,796,EH9_1LT
23,3973,8153
24,2473,EH9_1LT
25,8574,8524
26,5263,EH9_1LT
27,8700,8867
28,53,EH9_1LT
29,6273,539
30,4311,EH9_1LT
31,8697,826
32,2278,EH9_1LT
32,1829,6380
33,7658,EH9_1LT
34,7220,3664
35,940,EH9_1LT
36,1781,4546
37,8055,EH9_1LT
38,7018,9678
39,332,EH9_1LT
40,7439,4184
41,4194,EH9_1LT
42,5013,5589
43,8939,EH9_1LT
44,3294,534
45,4760,EH9_1LT
46,5918,1289
47,2013,EH9_1LT
48,9664,7610
49,4278,EH9_1LT
50,5334,5793
51,167,EH9_1LT
52,1750,1050
53,3597,EH9_1LT
54,2953,57
55,6339,EH9_1LT
56,1512,3913
57,8061,EH16_5AY
58,2357,EH9_1LT
59,2545,EH16_5AY
60,7586,6731
61,4396,EH16_5AY
62,5321,EH9_1LT
63,436,EH16_5AY
64,7283,9636
65,8894,EH16_5AY
66,9914,EH9_1LT
67,2128,EH16_5AY
68,3496,8368
69,8081,EH16_5AY
70,7567,EH9_1LT
71,4095,EH16_5AY
72,617,2003
73,3608,EH16_5AY
74,7530,EH9_1LT
75,5458,EH16_5AY
76,1959,1816
77,9795,EH16_5AY
78,421,EH9_1LT
79,7887,EH16_5AY
80,9555,6892
81,7640,EH16_5AY
82,9247,EH9_1LT
83,2341,EH16_5AY
84,585,7219
85,7495,EH16_5AY
86,2677,EH9_1LT
87,293,EH16_5AY
88,9013,7793
89,5666,EH16_5AY
90,1303,EH9_1LT
91,4823,EH16_5AY
92,9050,1978
93,2868,EH16_5AY
94,3984,EH9_1LT
95,4477,EH16_5AY
96,1473,3201
97,8470,EH16_5AY
98,198,EH9_1LT
99,2450,EH16_5AY
100,1585,2550
101,3187,EH16_5AY
102,1369,EH9_1LT
103,5946,EH16_5AY
104,6188,2869
105,4297,EH16_5AY
106,1190,EH9_1LT
107,6916,EH16_5AY
108,521,9791
109,3207,EH16_5AY
110,8816,EH9_1LT
111,724,EH16_5AY
112,9476,3264
113,4511,EH16_5AY
114,6154,EH9_1LT
115,4722,EH16_5AY
116,3613,3056
117,6219,EH16_5AY
118,2070,EH9_1LT
119,1466,EH16_5AY
120,4669,6604
121,657,EH16_5AY
122,6101,EH9_1LT
123,3381,EH16_5AY
124,4637,8402
125,4597,EH9_1LT
126,2755,EH16_5AY
127,2176,8170
128,8554,EH16_5AY
129,8299,EH9_1LT
130,8049,EH16_5AY
