
5985,9803,3,2021-04-17T19:13:20,,,,0
4544,614,5,2021-04-18T20:15:10,,,,0
6731,847,7,2021-04-18T20:19:15,,,,0
3797,114,9,2021-04-18T20:22:03,,,,0
8142,6837,11,2021-04-18T20:22:28,,,,0
2601,5424,13,2021-04-18T20:24:16,,,,0
2543,1129,15,2021-04-18T20:32:40,,,,0
4125,8874,17,2021-04-18T20:33:30,,,,0
8128,678,19,2021-04-18T21:19:09,,,,0
7694,4939,21,2021-04-18T21:28:39,,,,0
9665,2135,23,2021-04-18T21:30:27,,,,0
2955,1751,26,2021-04-18T21:37:18,2021-04-18T21:37:18,2021-04-18T21:37:18,2021-04-18T21:37:18,3
8333,5951,29,2021-04-18T21:38:39,2021-04-18T21:38:39,2021-04-18T21:38:39,2021-04-18T21:38:39,3
4895,6702,32,2021-04-18T21:39:09,2021-04-18T21:39:09,2021-04-18T21:39:09,2021-04-18T21:39:09,3
736,2449,35,2021-04-18T21:45:36,2021-04-18T21:45:36,2021-04-18T21:45:36,2021-04-18T21:45:36,3
9441,3153,38,2021-04-18T21:47:56,2021-04-18T21:47:56,2021-04-18T21:47:56,2021-04-18T21:47:56,3
2672,133,41,2021-04-18T21:51:25,2021-04-18T21:51:25,2021-04-18T21:51:25,2021-04-18T21:51:25,3
8526,4630,44,2021-04-18T21:52:46,2021-04-18T21:52:46,2021-04-18T21:52:46,2021-04-18T21:52:46,3
1176,2153,47,2021-04-18T21:53:42,2021-04-18T21:53:42,2021-04-18T21:53:42,2021-04-18T21:53:42,3
685,820,50,2021-04-18T21:55:28,2021-04-18T21:55:28,2021-04-18T21:55:28,2021-04-18T21:55:28,3
6748,5597,53,2021-04-18T22:04:16,2021-04-18T22:04:16,2021-04-18T22:04:16,2021-04-18T22:04:16,3
