
1,8915,6755
2,7224,6668
3,958,9146
4,8737,2165
5,2591,4508
6,5590,3740
7,725,106
8,4543,8101
9,140,6402
10,6338,4983
11,5445,6109
12,3923,4394
13,6152,8211
14,9371,9496
15,6068,6543
16,4578,1736
17,9186,9553
18,4948,1852
19,2489,4882
20,8214,3929
21,8363,6211
22,5424,EH9_1LT
23,4001,818
24,5709,EH9_1LT
25,9258,EH9_1LT
26,7285,890
27,2317,EH9_1LT
28,2329,EH9_1LT
29,7544,3001
30,9932,EH9_1LT
31,1613,EH9_1LT
32,8308,44
33,9614,EH9_1LT
34,5950,EH9_1LT
35,5260,5757
36,3071,EH9_1LT
37,6405,EH9_1LT
38,9321,533
39,6201,EH9_1LT
40,751,EH9_1LT
41,7141,4035
42,7347,EH9_1LT
43,2825,EH9_1LT
44,1145,7133
45,3176,EH9_1LT
46,1552,EH9_1LT
47,9272,8341
48,7999,EH9_1LT
49,2849,EH9_1LT
50,8354,4797
51,8333,EH9_1LT
52,1368,EH9_1LT
53,9278,4290
54,4136,EH9_1LT
55,7532,EH9_1LT
56,3864,7258
57,6605,EH9_1LT
58,8748,EH9_1LT
59,9849,3773
60,836,EH9_1LT
61,9986,EH9_1LT
62,7435,5601
63,568,EH9_1LT
64,6834,EH9_1LT
65,1565,5452
66,9420,EH9_1LT
67,735,EH9_1LT
68,8923,5696
69,1213,EH9_1LT
70,9224,EH9_1LT
71,5049,3597
72,2488,EH9_1LT
73,1177,EH9_1LT
74,6904,2875
75,7137,EH9_1LT
76,5218,EH9_1LT
77,2280,5019
78,8449,EH9_1LT
79,2927,EH9_1LT
80,9284,4399
81,3132,EH9_1LT
82,4559,EH9_1LT
83,4337,8039
84,5922,EH9_1LT
85,6613,EH9_1LT
86,7820,2974
87,8929,EH9_1LT
88,9388,EH9_1LT
89,127,2851
90,6430,EH9_1LT
91,1168,EH9_1LT
92,8383,1453
93,7333,EH9_1LT
94,3237,EH9_1LT
95,6877,6616
96,7176,EH9_1LT
97,6964,EH9_1LT
98,4898,3206
99,4415,EH9_1LT
100,9756,EH9_1LT
101,2330,4136
102,8193,EH9_1LT
103,7488,EH9_1LT
104,8597,2104
105,9998,EH9_1LT
106,2750,EH9_1LT
107,1260,6721
108,6243,EH9_1LT
109,6855,EH9_1LT
110,3055,6587
111,1940,EH9_1LT
112,4970,EH9_1LT
113,2760,8636
114,3603,EH9_1LT
115,9777,EH9_1LT
116,4180,8068
117,7478,EH9_1LT
118,3833,EH9_1LT
119,1563,5211
120,3829,EH9_1LT
121,2119,EH9_1LT
